"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"9523651","Internet Connectivity for Southwestern Michigan College","CNS","NETWORK INFRASTRUCTURE","08/15/1995","08/09/1995","Jacqueline Bishop","MI","Southwestern Michigan College","Standard Grant","David A. Staudt","07/31/1997","$24,782.00","Catharine Weimer, Ted Wackerle, E. Jane Markum","","Cherry Grove Road","Dowagiac","MI","49047","6167825113","CSE","4091","9178, SMET","$0.00","9523651 Bishop The Southwestern Michigan College requests support from NSF for a connection to the Internet through the MichNet regional network. MichNet is the midlevel network located in the state of Michigan that will provide operations and network information services. It will provide the Southwestern Michigan College with a connection to the Internet, a collection of interoperable networks that connect most research and education organizations in the United States The college needs the Internet connection to be able to access information resources throughout the state, the nation and the world. The connection will benefit the faculty, staff students of the Southwestern Michigan College."
"7251175","INSTRUCTIONAL SCIENTIFIC EQUIPMENT PROGRAM","","","01/01/1972","","","MI","Southwestern Michigan College","","","01/01/1974","$1,300.00","","","","","MI","","","","","","$0.00",""
"7907199","A System For Individualized Instruction in Biology","SER","CAUSE, 4-YR INSTITUTIONS","05/15/1979","05/30/1979","Daniel Dyman","MI","Southwestern Michigan College","Standard Grant","name not available","10/31/1981","$83,209.00","","","Cherry Grove Road","Dowagiac","MI","49047","6167825113","CSE","7021","","$0.00",""
