"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"5906691","Summer Institute for High School Teachers of Mathematics","","","01/01/1959","","","MI","North Central Michigan College","","","02/01/1959","$49,200.00","","","","","MI","","","","","","$0.00",""
"67U2296","","","","01/01/1967","","","MI","North Central Michigan College","","","01/01/1967","$2,000.00","","","","","MI","","","","","","$0.00",""
"5906461","In-Service Institute for Secondary School Teachers of Science and Mathematics","","","01/01/1959","","","MI","North Central Michigan College","","","10/01/1959","$8,600.00","","","","","MI","","","","","","$0.00",""
