"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"8019327","A Proposal to Design, Develop, Implement, Test, Evaluate AndDisseminate an Associate Degree Curriculum to Train Solar Engineering Technologists-Phase Iii","CSE","DEVELOP IN SCIENCE EDUCATION","05/15/1981","05/12/1981","Charles Orsak","TX","Navarro College","Standard Grant","name not available","10/31/1982","$229,380.00","","","3200 W. 7th Ave.","Corsicana","TX","751100000","9038757515","CSE","7775","","$0.00",""
"7712986","An Associate Degree Curriculum in Solar Engineering Technology - Phase Ii","CSE","ALTERNATIVE DEGREES, DEVELOP IN SCIENCE EDUCATION","09/01/1977","10/07/1980","Charles Orsak","TX","Navarro College","Standard Grant","name not available","05/31/1981","$622,548.00","","","3200 W. 7th Ave.","Corsicana","TX","751100000","9038757515","CSE","7225, 7775","","$0.00",""
"7615826","Comprehensive Assistance to Undergraduate Science Education","SER","CAUSE, 4-YR INSTITUTIONS, CAUSE, 2-YR INSTITUTIONS","07/01/1976","05/21/1980","Irving Rushing","TX","Navarro College","Standard Grant","name not available","11/30/1980","$235,724.00","","","3200 W. 7th Ave.","Corsicana","TX","751100000","9038757515","CSE","7021, 7022","","$0.00",""
