"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"66Y1374","","","","01/01/1966","","","TX","Western Texas College","","","01/01/1968","$3,000.00","","","","","TX","","","","","","$0.00",""
"660W294","Summer Institute in Earth Sciences for  Secondary School Teachers","","","01/01/1966","","","TX","Western Texas College","","","03/01/1966","$26,190.00","","","","","TX","","","","","","$0.00",""
"67W1772","","","","01/01/1967","","","TX","Western Texas College","","","10/01/1967","$24,390.00","","","","","TX","","","","","","$0.00",""
"66Y1860","","","","01/01/1966","","","TX","Western Texas College","","","01/01/1968","$12,700.00","","","","","TX","","","","","","$0.00",""
"64E5715","","","","01/01/1964","","","TX","Western Texas College","","","01/01/1966","$8,000.00","","","","","TX","","","","","","$0.00",""
"66U2001","","","","01/01/1966","","","TX","Western Texas College","","","01/01/1966","$16,680.00","","","","","TX","","","","","","$0.00",""
