"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"71Y8704","RESEARCH PARTICIPATION FOR COLLEGE ACADEMIC YEAR  EXTENSION","","","01/01/1971","","","AZ","Phoenix College","","","01/01/1973","$2,000.00","","","","","AZ","","","","","","$0.00",""
"66B5157","Predator-Prey Relationships Between Echinoderms and  Molluscs","","","01/01/1966","","","AZ","Phoenix College","","","01/01/1968","$9,700.00","","","","","AZ","","","","","","$0.00",""
"7357592","","","","01/01/1973","","","AZ","Phoenix College","","","01/01/1973","$1,090.00","","","","","AZ","","","","","","$0.00",""
