"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"71U3884","","","","01/01/1971","","","CA","Laney College","","","01/01/1971","$12,945.00","","","","","CA","","","","","","$0.00",""
"7141395","STANFORD BAY AREA EDUCATIONAL COMPUTER NETWORK FOR  CURRICULUM DEVELOPMENT","","","01/01/1971","","","CA","Laney College","","","01/01/1973","$26,900.00","","","","","CA","","","","","","$0.00",""
"7248076","","","","01/01/1972","","","CA","Laney College","","","01/01/1972","$12,509.00","","","","","CA","","","","","","$0.00",""
