"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"7613394","Instructional Scientific Equipment Program","SER","ALT IN HIGH ED-INST SC EQ","06/01/1976","06/08/1976","Margaret Gilbert","CO","Trinidad State Junior College","Standard Grant","  name not available","12/01/1978","$700.00","","","600 Prospect Street","Trinidad","CO","810822356","3038465011","CSE","7450","","$0.00",""
"7914699","Chemistry Instructional Improvement","SER","ALT IN HIGH ED-INST SC EQ","10/01/1979","09/14/1979","Margaret Gilbert","CO","Trinidad State Junior College","Standard Grant","  name not available","03/31/1982","$1,200.00","","","600 Prospect Street","Trinidad","CO","810822356","3038465011","CSE","7450","","$0.00",""
"7141415","COLORADO EDUCATIONAL COMPUTING NETWORK","","","01/01/1971","","","CO","Trinidad State Junior College","","","04/01/1973","$33,000.00","","","","","CO","","","","","","$0.00",""
"7248111","","","","01/01/1972","","","CO","Trinidad State Junior College","","","01/01/1972","$2,511.00","","","","","CO","","","","","","$0.00",""
