"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"8904193","RUI: Viscoelasticity of Rate Type and Finite Amplitude Oscillations of Spring-mass Systems","CMMI","MECHANICS","05/15/1989","03/09/1989","Ziliang Zhou","WV","Potomac State College of West Virginia University","Standard Grant","Devendra P. Garg","10/31/1990","$8,443.00","","","","Keyser","WV","26726","3047883011","ENG","1441","9229","$0.00","This project is to develop rate models of material behavior applicable to large deformations such as occur in structures made of rubber. The objective is to simultaneously model creep and relaxation at large deformations. An example problem will be solved in order to evaluate the ramifications of simultaneously considering large deformations and rate effects."
"5904895","Morphological and Functional Development of the Islets of Langerhans;","","","01/01/1959","","","WV","Potomac State College of West Virginia University","","","01/01/1960","$3,400.00","","","","","WV","","","","","","$0.00",""
"5904896","A Study of Limb Regeneration in Larval and Adult Amphibians;","","","01/01/1959","","","WV","Potomac State College of West Virginia University","","","01/01/1962","$17,500.00","","","","","WV","","","","","","$0.00",""
"70Y8097","","","","01/01/1970","","","WV","Potomac State College of West Virginia University","","","02/01/1972","$6,100.00","","","","","WV","","","","","","$0.00",""
"70Y7086","","","","01/01/1970","","","WV","Potomac State College of West Virginia University","","","01/01/1972","$2,000.00","","","","","WV","","","","","","$0.00",""
